,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
82,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,88.6
83,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,89.1
84,0,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,89.6
85,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,90.1
86,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,90.6
87,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,91.1
88,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,91.6
89,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,92.1
90,1,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,92.6
91,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,93.1
92,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,93.6
93,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,94.1
94,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,94.6
95,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,95.1
96,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,95.6
97,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,96.1
98,0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,96.6
99,0,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,97.1
100,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,97.6
101,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,98.1
102,0,1,0,0,1,1,0,1,0,0,1,0,0,1,1,0,98.6
103,0,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,99.1
104,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,99.6
105,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,100.1
106,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,100.6
107,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,101.1
108,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,101.6
109,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,102.1
110,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,102.6
111,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,103.1
