,Child utterance,Child gaze,Child affect,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
272,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,71.6399999999998
273,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,71.8399999999998
274,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,72.03999999999981
275,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,72.2399999999998
276,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,72.4399999999998
277,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,72.6399999999998
278,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,72.8399999999998
279,0,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0,0,73.0399999999998
280,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,73.2399999999998
281,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,73.4399999999998
282,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,73.6399999999998
283,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,73.83999999999979
284,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,74.0399999999998
285,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,74.2399999999998
286,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,74.4399999999998
287,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,74.63999999999979
288,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,74.83999999999979
289,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.0399999999998
290,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,75.2399999999998
291,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75.43999999999978
292,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75.63999999999979
293,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,75.83999999999979
294,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,76.0399999999998
295,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23999999999978
296,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,76.43999999999978
297,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.63999999999979
298,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76.83999999999979
299,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.03999999999978
300,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.23999999999978
301,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.43999999999978
302,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,77.63999999999979
