,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
256,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,140.02
257,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,140.52
258,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,141.02
259,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,141.52
260,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,142.02
261,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,142.52
262,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,143.02
263,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,143.52
264,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,144.02
265,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,144.52
266,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,0,145.02
267,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,145.52
268,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,146.02
269,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,146.52
270,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,147.02
271,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,147.52
272,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,148.02
273,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,148.52
274,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,149.02
275,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,149.52
276,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,150.02
277,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,150.52
278,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,151.02
279,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,151.52
280,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,152.02
281,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,0,152.52
282,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,153.02
283,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,153.52
284,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,154.02
285,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,154.52
286,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,155.02
287,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,155.52
288,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,156.02
289,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,156.52
290,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,157.02
291,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,157.52
292,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,158.02
293,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,158.52
294,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,159.02
295,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,159.52
296,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,160.02
297,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,160.52
298,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,161.02
299,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,161.52
300,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,162.02
301,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,162.52
302,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,163.02
303,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,163.52
