,Child utterance,Child gaze,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
295,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,78.27999999999979
296,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,78.47999999999979
297,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,78.6799999999998
298,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,78.8799999999998
299,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,79.07999999999979
300,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,79.27999999999979
301,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,79.47999999999979
302,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,79.67999999999978
303,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,79.87999999999978
304,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,80.07999999999979
305,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,80.27999999999979
306,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,80.47999999999979
307,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,80.67999999999978
308,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,80.87999999999978
309,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,81.07999999999979
310,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.27999999999977
311,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,81.47999999999978
312,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,81.67999999999978
313,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,81.87999999999978
314,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,82.07999999999979
315,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,82.27999999999977
316,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.47999999999978
317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.67999999999978
318,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.87999999999977
319,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83.07999999999977
320,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,83.27999999999977
321,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,83.47999999999978
322,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,83.67999999999978
323,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,83.87999999999977
324,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,84.07999999999977
325,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,84.27999999999977
326,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,84.47999999999976
327,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,84.67999999999977
328,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,84.87999999999977
329,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,85.07999999999977
330,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,85.27999999999977
331,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,85.47999999999976
332,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,85.67999999999977
333,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,85.87999999999977
334,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,86.07999999999976
335,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,86.27999999999976
336,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,86.47999999999976
337,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86.67999999999977
338,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,86.87999999999977
339,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87.07999999999976
340,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,87.27999999999976
341,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,87.47999999999976
342,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,87.67999999999975
343,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,87.87999999999975
344,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,88.07999999999976
345,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,88.27999999999976
346,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,88.47999999999976
347,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,88.67999999999975
348,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,88.87999999999975
349,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89.07999999999976
350,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,89.27999999999975
351,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.47999999999975
352,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89.67999999999975
353,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89.87999999999975
354,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.07999999999976
355,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.27999999999975
356,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90.47999999999975
357,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,90.67999999999975
358,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,90.87999999999974
359,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,91.07999999999974
360,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,91.27999999999975
361,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,91.47999999999975
362,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,91.67999999999975
363,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,91.87999999999974
364,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,92.07999999999974
365,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,92.27999999999975
366,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,92.47999999999973
367,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,92.67999999999974
368,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,92.87999999999974
369,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,93.07999999999974
370,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,93.27999999999975
371,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1,93.47999999999973
372,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,93.67999999999974
373,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,93.87999999999974
374,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,94.07999999999973
375,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,94.27999999999973
376,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,94.47999999999973
377,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,94.67999999999974
378,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,94.87999999999974
