,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Parent affective touch,Child prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,Mutual gaze,time
249,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,104.66000000000071
250,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,104.86000000000071
251,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,105.06000000000071
252,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,105.26000000000072
253,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,105.46000000000072
254,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,105.66000000000072
255,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,105.86000000000072
256,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,106.06000000000073
257,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,106.26000000000073
258,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,106.46000000000073
259,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,106.66000000000074
260,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,106.86000000000074
261,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,107.06000000000074
262,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,107.26000000000074
263,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,107.46000000000075
264,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,107.66000000000075
265,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,107.86000000000075
266,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,108.06000000000076
267,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,108.26000000000076
268,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,108.46000000000076
269,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,108.66000000000076
270,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,108.86000000000077
271,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,109.06000000000077
272,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,109.26000000000077
273,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,109.46000000000078
274,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109.66000000000078
275,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109.86000000000078
276,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.06000000000078
277,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.26000000000079
278,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.46000000000079
279,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,110.66000000000079
280,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,110.8600000000008
281,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,111.0600000000008
282,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,111.2600000000008
283,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,111.4600000000008
284,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,111.6600000000008
285,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,111.86000000000081
286,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,112.06000000000081
287,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,112.26000000000082
288,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,112.46000000000082
289,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,112.66000000000082
290,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,112.86000000000082
291,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,113.06000000000083
292,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,113.26000000000083
293,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0,113.46000000000083
294,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,113.66000000000084
295,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,113.86000000000084
296,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,114.06000000000084
297,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,114.26000000000084
298,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,114.46000000000085
299,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,114.66000000000085
300,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,114.86000000000085
301,1,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,115.06000000000085
302,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,115.26000000000086
303,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,115.46000000000086
