,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent affect,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
143,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,104.5
144,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,105.0
145,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,105.5
146,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,106.0
147,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,106.5
148,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,107.0
149,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,107.5
150,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,108.0
151,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,108.5
152,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,109.0
153,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,109.5
154,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,110.0
155,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,110.5
156,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,111.0
157,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,111.5
158,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,112.0
159,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,112.5
160,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,113.0
161,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,113.5
162,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,114.0
163,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,114.5
164,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,115.0
165,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,115.5
166,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,116.0
167,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,1,116.5
168,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,117.0
169,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,117.5
170,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,118.0
171,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,118.5
172,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,119.0
173,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,119.5
174,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,120.0
175,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,120.5
176,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,121.0
177,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,121.5
178,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,122.0
179,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,122.5
180,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,123.0
181,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,123.5
182,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,124.0
183,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,124.5
184,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,125.0
185,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,125.5
186,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,126.0
187,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,126.5
188,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,127.0
189,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,127.5
190,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,128.0
191,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,128.5
192,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,129.0
193,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,129.5
194,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,130.0
195,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,130.5
196,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,131.0
197,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,131.5
198,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,132.0
199,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,132.5
200,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,133.0
201,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,133.5
202,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,134.0
203,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,134.5
204,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,135.0
205,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,135.5
206,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,136.0
207,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,136.5
208,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,137.0
209,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,137.5
210,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,138.0
211,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,138.5
212,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,0,139.0
213,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,139.5
214,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,140.0
215,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,140.5
216,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,141.0
217,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,141.5
218,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,142.0
219,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,142.5
220,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,143.0
221,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,143.5
222,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,144.0
223,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,144.5
224,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,145.0
225,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,145.5
226,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,146.0
227,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,146.5
228,0,1,0,0,1,1,0,1,1,0,1,0,0,1,0,1,147.0
229,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,1,147.5
230,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,148.0
231,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,148.5
232,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,149.0
233,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,149.5
234,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,150.0
235,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,150.5
236,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,151.0
237,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,151.5
238,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,152.0
239,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,152.5
240,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,153.0
241,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,153.5
242,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,154.0
243,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,154.5
