,col base,action base,col count,action count,hist,bins
288,action,Child prop manipulation,sub_action,missing data,[1],[1 2]
289,action,Child prop manipulation,sub_action,other,[],[1]
290,action,Child prop manipulation,sub_action,other vocalization,[1],[1 2]
291,action,Child prop manipulation,sub_action,parent,[1],[1 2]
292,action,Child prop manipulation,sub_action,pick up,[4],[1 2]
293,action,Child prop manipulation,sub_action,point at prop,[3],[1 2]
294,action,Child prop manipulation,sub_action,positive 1,[],[1]
295,action,Child prop manipulation,sub_action,positive 2,[1],[1 2]
296,action,Child prop manipulation,sub_action,positive feedback,[3],[1 2]
297,action,Child prop manipulation,sub_action,props,[0 1 2 2 1 1],[1 2 3 4 5 6 7]
298,action,Child prop manipulation,sub_action,put down,[2],[1 2]
299,action,Child prop manipulation,sub_action,robot,[4 0 5 2],[1 2 3 4 5]
300,action,Child prop manipulation,sub_action,song,[],[1]
301,action,Child prop manipulation,sub_action,teach,[1],[1 2]
302,action,Child prop manipulation,sub_action,technical,[1],[1 2]
303,action,Child prop manipulation,sub_action,try again,[1],[1 2]
304,action,Child prop manipulation,sub_action,utterance,[7],[1 2]
305,action,Child prop manipulation,action:sub_action,Child affect:positive 1,[],[1]
306,action,Child prop manipulation,action:sub_action,Child affect:positive 2,[],[1]
307,action,Child prop manipulation,action:sub_action,Child gaze:missing data,[],[1]
308,action,Child prop manipulation,action:sub_action,Child gaze:parent,[],[1]
309,action,Child prop manipulation,action:sub_action,Child gaze:props,[6 1],[1 2 3]
310,action,Child prop manipulation,action:sub_action,Child gaze:robot,[7 2],[1 2 3]
311,action,Child prop manipulation,action:sub_action,Child gesture:point at prop,[1],[1 2]
312,action,Child prop manipulation,action:sub_action,Child prop manipulation:child,[2 1],[1 2 3]
313,action,Child prop manipulation,action:sub_action,Child utterance:utterance,[],[1]
314,action,Child prop manipulation,action:sub_action,Conversational turns:CP,[],[1]
315,action,Child prop manipulation,action:sub_action,Conversational turns:CPC,[],[1]
316,action,Child prop manipulation,action:sub_action,Conversational turns:PC,[],[1]
317,action,Child prop manipulation,action:sub_action,Conversational turns:PCP,[],[1]
318,action,Child prop manipulation,action:sub_action,Joint attention:missing data,[],[1]
