,Child utterance,Child gaze,Child affect,Child gesture,Parent utterance,Verbal scaffolding,Non-verbal scaffolding,Parent gaze,Parent gesture,Child prop manipulation,Parent prop manipulation,robot pointing,robot text,Conversational turns,Joint attention,time
223,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,267.9
224,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,268.4
225,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,268.9
226,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,269.4
227,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,269.9
228,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,270.4
229,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,270.9
230,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,271.4
231,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,271.9
232,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,272.4
233,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,272.9
234,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,273.4
235,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,273.9
236,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,274.4
237,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,274.9
238,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,275.4
239,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,275.9
240,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,276.4
241,0,1,0,0,1,1,1,1,1,0,0,1,1,0,1,276.9
242,0,1,0,0,1,1,0,1,0,0,0,1,1,0,1,277.4
243,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,277.9
244,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,278.4
245,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,278.9
246,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,279.4
