,col base,action base,col count,action count,hist,bins
336,action,Child utterance,action:sub_action,Parent prop manipulation:parent,[],[1]
337,action,Child utterance,action:sub_action,Parent utterance:missing data,[1],[1 2]
338,action,Child utterance,action:sub_action,Parent utterance:utterance,[2 1],[1 2 3]
339,action,Child utterance,action:sub_action,Verbal scaffolding:affective,[],[1]
340,action,Child utterance,action:sub_action,Verbal scaffolding:cognitive,[3],[1 2]
341,action,Child utterance,action:sub_action,robot pointing:point at prop,[],[1]
342,action,Child utterance,action:sub_action,robot text:correction,[],[1]
343,action,Child utterance,action:sub_action,robot text:other,[1],[1 2]
344,action,Child utterance,action:sub_action,robot text:pick up,[],[1]
345,action,Child utterance,action:sub_action,robot text:positive feedback,[1],[1 2]
346,action,Child utterance,action:sub_action,robot text:put down,[],[1]
347,action,Child utterance,action:sub_action,robot text:song,[],[1]
348,action,Child utterance,action:sub_action,robot text:teach,[],[1]
349,action,Child utterance,action:sub_action,robot text:try again,[2],[1 2]
350,action,Conversational turns,action,Child affect,[],[1]
351,action,Conversational turns,action,Child gaze,[2 1],[1 2 3]
352,action,Conversational turns,action,Child gesture,[],[1]
353,action,Conversational turns,action,Child prop manipulation,[],[1]
354,action,Conversational turns,action,Child utterance,[2 1],[1 2 3]
355,action,Conversational turns,action,Joint attention,[1],[1 2]
356,action,Conversational turns,action,Non-verbal scaffolding,[1],[1 2]
357,action,Conversational turns,action,Parent gaze,[1],[1 2]
358,action,Conversational turns,action,Parent gesture,[1 1],[1 2 3]
359,action,Conversational turns,action,Parent prop manipulation,[],[1]
360,action,Conversational turns,action,Parent utterance,[2 2],[1 2 3]
361,action,Conversational turns,action,Verbal scaffolding,[3],[1 2]
362,action,Conversational turns,action,robot pointing,[],[1]
363,action,Conversational turns,action,robot text,[5],[1 2]
364,action,Conversational turns,sub_action,CP,[2],[1 2]
365,action,Conversational turns,sub_action,CPC,[],[1]
366,action,Conversational turns,sub_action,PC,[1 1],[1 2 3]
367,action,Conversational turns,sub_action,PCP,[1],[1 2]
368,action,Conversational turns,sub_action,affective,[],[1]
369,action,Conversational turns,sub_action,child,[],[1]
370,action,Conversational turns,sub_action,cognitive,[4],[1 2]
371,action,Conversational turns,sub_action,correction,[],[1]
372,action,Conversational turns,sub_action,missing data,[0 1],[1 2 3]
373,action,Conversational turns,sub_action,other,[1],[1 2]
374,action,Conversational turns,sub_action,parent,[3],[1 2]
375,action,Conversational turns,sub_action,pick up,[1],[1 2]
376,action,Conversational turns,sub_action,point at prop,[1],[1 2]
377,action,Conversational turns,sub_action,positive 1,[],[1]
378,action,Conversational turns,sub_action,positive 2,[],[1]
379,action,Conversational turns,sub_action,positive feedback,[1],[1 2]
380,action,Conversational turns,sub_action,put down,[],[1]
381,action,Conversational turns,sub_action,song,[],[1]
382,action,Conversational turns,sub_action,tablet,[1 1],[1 2 3]
383,action,Conversational turns,sub_action,teach,[],[1]
384,action,Conversational turns,sub_action,technical,[],[1]
385,action,Conversational turns,sub_action,try again,[3],[1 2]
386,action,Conversational turns,sub_action,utterance,[0 1 1 1],[1 2 3 4 5]
387,action,Conversational turns,action:sub_action,Child affect:positive 1,[],[1]
388,action,Conversational turns,action:sub_action,Child affect:positive 2,[],[1]
389,action,Conversational turns,action:sub_action,Child gaze:parent,[3],[1 2]
390,action,Conversational turns,action:sub_action,Child gaze:tablet,[1],[1 2]
391,action,Conversational turns,action:sub_action,Child gesture:other,[],[1]
392,action,Conversational turns,action:sub_action,Child gesture:point at prop,[],[1]
393,action,Conversational turns,action:sub_action,Child prop manipulation:child,[],[1]
394,action,Conversational turns,action:sub_action,Child utterance:utterance,[2 1],[1 2 3]
395,action,Conversational turns,action:sub_action,Conversational turns:CP,[2],[1 2]
396,action,Conversational turns,action:sub_action,Conversational turns:CPC,[],[1]
397,action,Conversational turns,action:sub_action,Conversational turns:PC,[1 1],[1 2 3]
398,action,Conversational turns,action:sub_action,Conversational turns:PCP,[1],[1 2]
399,action,Conversational turns,action:sub_action,Joint attention:tablet,[1],[1 2]
